"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 15:32:45 MSK 2024","Tue Oct 29 15:32:46 MSK 2024","938","chromium","commit.spec.js","Задачи и коммиты. Интеграция","","","Получить все задачи",""
"passed","Tue Oct 29 15:32:47 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","130","chromium","user.spec.js","Профиль пользователя. Интеграция","","","Создание заявки на удаление профиля",""
"passed","Tue Oct 29 15:32:47 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","277","chromium","courses.spec.js","Курсы. Интеграция","","","Получение информации о структуре курса и назначенных студенту задач",""
"passed","Tue Oct 29 15:32:47 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","180","chromium","user.spec.js","Профиль пользователя. Интеграция","","","Отмена заявки на удаление профиля",""
"passed","Tue Oct 29 15:32:46 MSK 2024","Tue Oct 29 15:32:46 MSK 2024","173","chromium","commit.spec.js","Задачи и коммиты. Интеграция","","","Создание коммита пользователем",""
"passed","Tue Oct 29 15:32:46 MSK 2024","Tue Oct 29 15:32:46 MSK 2024","170","chromium","commit.spec.js","Задачи и коммиты. Интеграция","","","Обновление коммита пользователем",""
"passed","Tue Oct 29 15:32:47 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","137","chromium","user.spec.js","Профиль пользователя. Интеграция","","","Принятие Пользовательского Соглашения",""
"passed","Tue Oct 29 15:32:47 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","178","chromium","user.spec.js","Профиль пользователя. Интеграция","","","Обновление профиля пользователя",""
"passed","Tue Oct 29 15:32:46 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","180","chromium","courses.spec.js","Курсы. Интеграция","","","Получение списка курсов и информации о записи студента на курс",""
"passed","Tue Oct 29 15:32:46 MSK 2024","Tue Oct 29 15:32:46 MSK 2024","399","chromium","commit.spec.js","Задачи и коммиты. Интеграция","","","Получение информации об оценке",""
"passed","Tue Oct 29 15:32:47 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","139","chromium","user.spec.js","Профиль пользователя. Интеграция","","","Получение данных о текущем пользователе",""
"passed","Tue Oct 29 15:32:46 MSK 2024","Tue Oct 29 15:32:47 MSK 2024","150","chromium","courses.spec.js","Курсы. Интеграция","","","Получение информации о курсе по ID",""
"passed","Tue Oct 29 15:32:45 MSK 2024","Tue Oct 29 15:32:46 MSK 2024","744","chromium","applications.spec.js","Создание заявки. Интеграция","","","Создание заявки и пользователя, если его еще не было",""
"passed","Tue Oct 29 15:32:46 MSK 2024","Tue Oct 29 15:32:46 MSK 2024","212","chromium","courses.spec.js","Курсы. Интеграция","","","Получение информации о публичных курсах",""
